PLAYER_ID	POSITION	GP	GS	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS
1713	Guard-Forward	1526	982	46194.0	9270	21279	0.43564	2274	6128	0.371083	4850	6080	0.797697	1651	4926	6577	4706	1525	886	2584	3977	25664
1628976	Center-Forward	81	81	2218.0	346	680	0.508823	12	60	0.2	184	241	0.763485	217	456	673	122	56	91	127	294	888
203487	Guard	343	192	8751.0	1343	3343	0.401734	157	620	0.253225	771	1094	0.704753	319	1190	1509	1532	451	187	817	837	3614
1627936	Guard	108	11	1941.0	213	496	0.429435	68	179	0.379888	120	155	0.774193	45	172	217	231	96	32	123	181	614
1626161	Center	341	236	8097.0	1398	2607	0.536248	4	18	0.222222	511	836	0.611244	609	1549	2158	548	321	284	347	818	3311
2199	Center	1159	886	31618.0	3558	5964	0.596579	0	11	0.0	2393	3714	0.644318	3529	6938	10467	967	630	1335	1656	3268	9509
201163	Forward	663	480	20002.0	3249	7315	0.444155	859	2509	0.342367	1043	1356	0.769174	762	2767	3529	1192	467	410	922	1775	8400
1629597	Forward	3	0	31.0	2	5	0.4	0	1	0.0	0	0	0.0	1	5	6	2	0	1	3	5	4
1629185	Guard	21	0	179.0	15	51	0.294117	10	26	0.384615	0	0	0.0	1	21	22	38	13	3	11	14	40
1627737	Forward	244	135	4643.0	694	1561	0.444586	151	516	0.292635	325	495	0.656565	299	840	1139	246	164	198	312	638	1864
1629109	Forward	77	2	959.0	82	232	0.353448	64	206	0.310679	13	14	0.928571	46	136	182	30	24	36	11	70	241
1629634	Forward-Guard	44	2	959.0	223	359	0.621169	19	48	0.395833	68	82	0.829268	60	193	253	65	22	38	41	74	533
203903	Guard	431	138	11698.0	2436	5472	0.445175	625	1839	0.339858	847	1037	0.816779	370	985	1355	1125	373	59	716	708	6344
1629651	Forward-Center	14	0	183.0	26	46	0.565217	1	7	0.142857	9	19	0.473684	19	24	43	16	1	8	9	14	62
1629598	Guard	26	0	231.0	49	117	0.418803	33	90	0.366666	4	5	0.8	2	19	21	19	6	5	16	20	135
1628499	Guard	22	0	142.0	10	26	0.384615	3	5	0.6	5	8	0.625	3	14	17	2	8	6	8	25	28
1629599	Guard-Forward	2	0	5.0	2	3	0.666666	1	2	0.5	0	0	0.0	0	0	0	1	0	0	0	1	5
1628381	Forward	161	111	4425.0	989	1751	0.56482	105	300	0.35	394	525	0.750476	462	942	1404	251	86	164	271	511	2477
1628380	Forward-Center	146	4	2488.0	313	708	0.44209	78	241	0.323651	127	174	0.729885	158	399	557	129	42	99	141	318	831
